airport_name,display_name,iata_code,icao_code,ourairports_ident,country_code,country_name,region_code,city,municipality,latitude,longitude,airport_type,scheduled_service,annual_passengers,passenger_year,passenger_tier,strategic_priority,automation_potential_score,automation_potential_tier,website,linkedin_url,source_identity,source_traffic,source_url,rejection_reason,traffic_source_url
Anaa Airport,Anaa Airport,AAA,NTGA,NTGA,PF,French Polynesia,PF-U-A,Anaa,Anaa,-17.3526,-145.509995,medium_airport,yes,3927,2022,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.aeroport.fr/view-statistiques/anaa,below_5m_passengers,https://www.aeroport.fr/view-statistiques/anaa
El Arish International Airport,El Arish International Airport,AAC,HEAR,HEAR,EG,Egypt,EG-SIN,El Arish,El Arish,31.055324,33.827964,large_airport,yes,33010,2013,medium_airport,medium,45,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.ehcaan.com/statistics.aspx#day,below_5m_passengers,http://www.ehcaan.com/statistics.aspx#day
Annaba Rabah Bitat Airport,Annaba Rabah Bitat Airport,AAE,DABB,DABB,DZ,Algeria,DZ-23,Annaba,Annaba,36.826781,7.81334,large_airport,yes,105229,2020,medium_airport,medium,45,medium,http://www.annabacity.net/dossiers/dossier_40_aeroport+annaba+-+rabah+bitat.html,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.egsa-constantine.dz/index.php/exploitation/statistiques-du-trafic,below_5m_passengers,http://www.egsa-constantine.dz/index.php/exploitation/statistiques-du-trafic
Aalborg Airport,Aalborg Airport,AAL,EKYT,EKYT,DK,Denmark,DK-81,Aalborg,Aalborg,57.094763,9.84993,large_airport,yes,1423024,2023,medium_airport,medium,45,medium,http://www.aal.dk,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.routesonline.com/airports/4891/aalborg-airport/news/299662526/an-eventful-year-at-aalborg-airport/,below_5m_passengers,https://www.routesonline.com/airports/4891/aalborg-airport/news/299662526/an-eventful-year-at-aalborg-airport/
Al Ain International Airport,Al Ain International Airport,AAN,OMAL,OMAL,AE,United Arab Emirates,AE-AZ,Al Ain,Al Ain,24.2617,55.6092,large_airport,yes,136519,2017,medium_airport,medium,45,medium,https://www.adac.ae/english/what-we-do/airports/al-ain-international-airport,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.scad.gov.abudhabi/Release%20Documents/SYB_2018_EN_9Sep.pdf,below_5m_passengers,https://www.scad.gov.abudhabi/Release%20Documents/SYB_2018_EN_9Sep.pdf
Aji Pangeran Tumenggung Pranoto International Airport,Aji Pangeran Tumenggung Pranoto International Airport,AAP,WALS,WALS,ID,Indonesia,ID-KI,Samarinda,Samarinda,-0.374478,117.250128,medium_airport,yes,662454,2022,medium_airport,medium,40,medium,https://aptpairport.id/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.instagram.com/p/CnMTJelBFXH/,below_5m_passengers,https://www.instagram.com/p/CnMTJelBFXH/
Anapa Vityazevo Airport,Anapa Vityazevo Airport,AAQ,URKA,URKA,RU,Russia,RU-KDA,Krasnyi Kurgan,Krasnyi Kurgan,45.002102,37.347301,medium_airport,yes,2931057,2021,medium_airport,medium,40,medium,https://www.aaqaero.ru/en/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://favt.gov.ru/dejatelnost-ajeroporty-i-ajerodromy-osnovnie-proizvodstvennie-pokazateli-aeroportov-obyom-perevoz/,below_5m_passengers,https://favt.gov.ru/dejatelnost-ajeroporty-i-ajerodromy-osnovnie-proizvodstvennie-pokazateli-aeroportov-obyom-perevoz/
Aarhus Airport,Aarhus Airport,AAR,EKAH,EKAH,DK,Denmark,DK-82,Aarhus,Aarhus,56.303331,10.618286,large_airport,yes,418930,2022,medium_airport,medium,45,medium,http://www.aar.dk/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://stat.trafikstyrelsen.dk/,below_5m_passengers,http://stat.trafikstyrelsen.dk/
Altay Xuedu Airport,Altay Xuedu Airport,AAT,ZWAT,ZWAT,CN,China,CN-65,Altay,Altay,47.749886,88.085808,medium_airport,yes,237627,2022,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202303/P020230317397015127619.xlsx,below_5m_passengers,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202303/P020230317397015127619.xlsx
Romeu Zema Airport,Romeu Zema Airport,AAX,SBAX,SBAX,BR,Brazil,BR-MG,Araxá,Araxá,-19.5632,-46.9604,medium_airport,yes,597,2020,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.anac.gov.br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2020.csv,below_5m_passengers,https://www.anac.gov.br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2020.csv
Al Ghaydah International Airport,Al Ghaydah International Airport,AAY,OYGD,OYGD,YE,Yemen,YE-MR,Al Ghaydah,Al Ghaydah,16.193341,52.174186,medium_airport,yes,,,unknown,unrated,,unknown,,,https://davidmegginson.github.io/ourairports-data/airports.csv,,,missing_passenger_data,
Abakan International Airport,Abakan International Airport,ABA,UNAA,UNAA,RU,Russia,RU-KK,Abakan,Abakan,53.740002,91.385002,large_airport,yes,253108,2021,medium_airport,medium,45,medium,http://www.abakan.aero,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://favt.gov.ru/dejatelnost-ajeroporty-i-ajerodromy-osnovnie-proizvodstvennie-pokazateli-aeroportov-obyom-perevoz/,below_5m_passengers,https://favt.gov.ru/dejatelnost-ajeroporty-i-ajerodromy-osnovnie-proizvodstvennie-pokazateli-aeroportov-obyom-perevoz/
Asaba International Airport,Asaba International Airport,ABB,DNAS,DNAS,NG,Nigeria,NG-DE,Asaba,Asaba,6.204167,6.665278,large_airport,yes,,,unknown,unrated,,unknown,,,https://davidmegginson.github.io/ourairports-data/airports.csv,,,missing_passenger_data,
Abadan Ayatollah Jami International Airport,Abadan Ayatollah Jami International Airport,ABD,OIAA,OIAA,IR,Iran,IR-06,Abadan,Abadan,30.367887,48.230075,large_airport,yes,898889,2019,medium_airport,medium,45,medium,https://abadan.airport.ir/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.wikidata.org/entity/Q1948430,below_5m_passengers,http://www.wikidata.org/entity/Q1948430
Lehigh Valley International Airport,Lehigh Valley International Airport,ABE,KABE,KABE,US,United States,US-PA,Allentown/Bethlehem,Allentown/Bethlehem,40.651773,-75.442797,medium_airport,yes,868014,2019,medium_airport,medium,40,medium,https://flyabe.com,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,below_5m_passengers,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx
Abilene Regional Airport,Abilene Regional Airport,ABI,KABI,KABI,US,United States,US-TX,Abilene,Abilene,32.4113006592,-99.68190002440001,medium_airport,yes,163626,2019,medium_airport,medium,40,medium,http://iflyabi.com,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,below_5m_passengers,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx
Félix-Houphouët-Boigny International Airport,Félix-Houphouët-Boigny International Airport,ABJ,DIAP,DIAP,CI,Côte d'Ivoire,CI-AB,Abidjan,Abidjan,5.26139,-3.92629,large_airport,yes,1647832,2021,medium_airport,medium,45,medium,http://www.abidjan-aeroport.com,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.anac.ci/anac/web/docs/BULLETIN_ANAC_6.pdf,below_5m_passengers,https://www.anac.ci/anac/web/docs/BULLETIN_ANAC_6.pdf
Kebri Dahar Airport,Kebri Dahar Airport,ABK,HAKD,HAKD,ET,Ethiopia,ET-SO,Kebri Dahar,Kebri Dahar,6.732577,44.241339,medium_airport,yes,,,unknown,unrated,,unknown,,,https://davidmegginson.github.io/ourairports-data/airports.csv,,,missing_passenger_data,
Ambler Airport,Ambler Airport,ABL,PAFM,PAFM,US,United States,US-AK,Ambler,Ambler,67.105529,-157.855339,medium_airport,yes,6300,2019,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,below_5m_passengers,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx
Aberdeen Regional Airport,Aberdeen Regional Airport,ABR,KABR,KABR,US,United States,US-SD,Aberdeen,Aberdeen,45.449100494384766,-98.42179870605469,medium_airport,yes,59128,2019,medium_airport,medium,40,medium,https://aberdeenregionalairport.us/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,below_5m_passengers,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx
Abu Simbel Airport,Abu Simbel Airport,ABS,HEBL,HEBL,EG,Egypt,EG-ASN,Abu Simbel,Abu Simbel,22.375924,31.611734,medium_airport,yes,16848,2022,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.ehcaan.com/statistics.aspx,below_5m_passengers,http://www.ehcaan.com/statistics.aspx
King Saud Bin Abdulaziz (Al Baha) Airport,King Saud Bin Abdulaziz (Al Baha) Airport,ABT,OEBA,OEBA,SA,Saudi Arabia,SA-11,Al-Baha,Al-Baha,20.298506,41.636153,medium_airport,yes,272467,2021,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://gaca.gov.sa/ar/,below_5m_passengers,https://gaca.gov.sa/ar/
Albury Airport,Albury Airport,ABX,YMAY,YMAY,AU,Australia,AU-NSW,East Albury,East Albury,-36.066758,146.959148,medium_airport,yes,207953,2022,medium_airport,medium,40,medium,http://www.flyalbury.com.au,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.bitre.gov.au/sites/default/files/documents/webairport_cy_1985-2022.xlsx,below_5m_passengers,https://www.bitre.gov.au/sites/default/files/documents/webairport_cy_1985-2022.xlsx
Southwest Georgia Regional Airport,Southwest Georgia Regional Airport,ABY,KABY,KABY,US,United States,US-GA,Albany,Albany,31.532946,-84.196215,medium_airport,yes,82536,2019,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,below_5m_passengers,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx
Aberdeen International Airport,Aberdeen International Airport,ABZ,EGPD,EGPD,GB,United Kingdom,GB-SCT,Aberdeen,Aberdeen,57.2019,-2.19778,large_airport,yes,1959883,2022,medium_airport,medium,45,medium,http://www.aberdeenairport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.caa.co.uk/Documents/Download/9077/31632962-d7b6-4df4-a5fd-6df78e65d88c/5578,below_5m_passengers,https://www.caa.co.uk/Documents/Download/9077/31632962-d7b6-4df4-a5fd-6df78e65d88c/5578
General Juan N. Álvarez International Airport,General Juan N. Álvarez International Airport,ACA,MMAA,MMAA,MX,Mexico,MX-GRO,Acapulco,Acapulco,16.757126,-99.753113,large_airport,yes,894012,2023,medium_airport,medium,45,medium,https://www.oma.aero/es/pasajeros/acapulco/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.gob.mx/afac/acciones-y-programas/estadisticas-280404,below_5m_passengers,https://www.gob.mx/afac/acciones-y-programas/estadisticas-280404
Kotoka International Airport,Kotoka International Airport,ACC,DGAA,DGAA,GH,Ghana,GH-AA,Accra,Accra,5.605189800262451,-0.16678600013256073,large_airport,yes,2805347,2022,medium_airport,medium,45,medium,http://www.ghanaairports.com.gh/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.gacl.com.gh/traffic-statistics-2019/#1524089411905-f658d99d-c1ee,below_5m_passengers,https://www.gacl.com.gh/traffic-statistics-2019/#1524089411905-f658d99d-c1ee
Sankt Gallen Altenrhein Airport,Sankt Gallen Altenrhein Airport,ACH,LSZR,LSZR,CH,Switzerland,CH-SG,St. Gallen,St. Gallen,47.485001,9.56077,medium_airport,yes,24470,2021,medium_airport,medium,40,medium,https://www.peoples.ch/lszr,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://dam-api.bfs.admin.ch/hub/api/dam/assets/21124581/master,below_5m_passengers,https://dam-api.bfs.admin.ch/hub/api/dam/assets/21124581/master
Alderney Airport,Alderney Airport,ACI,EGJA,EGJA,GG,Guernsey,GG-A,Saint Anne,Saint Anne,49.706104,-2.21472,medium_airport,yes,49823,2023,medium_airport,medium,40,medium,http://alderney.gov.gg/article/4153/Airport,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.airport.gg/sites/default/files/Annual%20Report%202023%20-%20Guernsey%20Ports%20-%2028.08.2024.pdf,below_5m_passengers,https://www.airport.gg/sites/default/files/Annual%20Report%202023%20-%20Guernsey%20Ports%20-%2028.08.2024.pdf
Nantucket Memorial Airport,Nantucket Memorial Airport,ACK,KACK,KACK,US,United States,US-MA,Nantucket,Nantucket,41.25310135,-70.06020355,medium_airport,yes,269660,2019,medium_airport,medium,40,medium,https://www.nantucket-ma.gov/2445/Memorial-Airport,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,below_5m_passengers,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx
Waco Regional Airport,Waco Regional Airport,ACT,KACT,KACT,US,United States,US-TX,Waco,Waco,31.611299514770508,-97.23049926757812,medium_airport,yes,125814,2019,medium_airport,medium,40,medium,http://www.waco-texas.com/airport/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,below_5m_passengers,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx
California Redwood Coast-Humboldt County Airport,California Redwood Coast-Humboldt County Airport,ACV,KACV,KACV,US,United States,US-CA,Arcata/Eureka,Arcata/Eureka,40.978101,-124.109,medium_airport,yes,172294,2019,medium_airport,medium,40,medium,https://flyacv.com,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,below_5m_passengers,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx
Xingyi Wanfenglin Airport,Xingyi Wanfenglin Airport,ACX,ZUYI,ZUYI,CN,China,CN-52,Xingyi,Xingyi,25.083423,104.960804,medium_airport,yes,516808,2022,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202303/P020230317397015127619.xlsx,below_5m_passengers,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202303/P020230317397015127619.xlsx
Atlantic City International Airport,Atlantic City International Airport,ACY,KACY,KACY,US,United States,US-NJ,Atlantic City,Atlantic City,39.456201,-74.577511,medium_airport,yes,632691,2022,medium_airport,medium,40,medium,https://acairport.com,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.wikidata.org/entity/Q1430885,below_5m_passengers,http://www.wikidata.org/entity/Q1430885
Adana Şakirpaşa Airport,Adana Şakirpaşa Airport,ADA,LTAF,LTAF,TR,Turkey,TR-01,Seyhan,Seyhan,36.982201,35.280399,large_airport,yes,3085048,2024,medium_airport,medium,45,medium,https://dhmi.gov.tr/sayfalar/havalimani/adana/anasayfa.aspx,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://dhmi.gov.tr/Lists/Istatislikler_EN/Attachments/236/PASSENGER.pdf,below_5m_passengers,https://dhmi.gov.tr/Lists/Istatislikler_EN/Attachments/236/PASSENGER.pdf
Aden International Airport,Aden International Airport,ADE,OYAA,OYAA,YE,Yemen,YE-AD,Aden,Aden,12.829564,45.029976,large_airport,yes,,,unknown,unrated,,unknown,,,https://davidmegginson.github.io/ourairports-data/airports.csv,,,missing_passenger_data,
Adıyaman Airport,Adıyaman Airport,ADF,LTCP,LTCP,TR,Turkey,TR-02,Adıyaman,Adıyaman,37.7314,38.468899,medium_airport,yes,182424,2022,medium_airport,medium,40,medium,http://adiyaman.dhmi.gov.tr/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.dhmi.gov.tr/Lists/IstatisliklerDiger/Attachments/18/T%C3%9CRK%C4%B0YE%20GENEL%C4%B0%20%C4%B0STAT%C4%B0ST%C4%B0KLER%C4%B0.xlsx,below_5m_passengers,https://www.dhmi.gov.tr/Lists/IstatisliklerDiger/Attachments/18/T%C3%9CRK%C4%B0YE%20GENEL%C4%B0%20%C4%B0STAT%C4%B0ST%C4%B0KLER%C4%B0.xlsx
Marka International (Amman Civil) Airport,Marka International (Amman Civil) Airport,ADJ,OJAM,OJAM,JO,Jordan,JO-AM,Amman,Amman,31.9727,35.9916,large_airport,yes,,,unknown,unrated,,unknown,https://jac.jo,,https://davidmegginson.github.io/ourairports-data/airports.csv,,,missing_passenger_data,
Adak Airport,Adak Airport,ADK,PADK,PADK,US,United States,US-AK,Adak,Adak,51.883564,-176.642783,medium_airport,yes,6318,2019,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,below_5m_passengers,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx
Kodiak Airport,Kodiak Airport,ADQ,PADQ,PADQ,US,United States,US-AK,Kodiak,Kodiak,57.75,-152.4940033,medium_airport,yes,171310,2019,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,below_5m_passengers,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx
Ardabil Airport,Ardabil Airport,ADU,OITL,OITL,IR,Iran,IR-24,Ardabil,Ardabil,38.3256988525,48.4244003296,medium_airport,yes,261144,2012,medium_airport,medium,40,medium,http://ardabil.airport.ir/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.wikidata.org/entity/Q2365437,below_5m_passengers,http://www.wikidata.org/entity/Q2365437
Gustavo Rojas Pinilla International Airport,Gustavo Rojas Pinilla International Airport,ADZ,SKSP,SKSP,CO,Colombia,CO-SAP,San Andrés,San Andrés,12.5836,-81.7112,large_airport,yes,3001923,2022,medium_airport,medium,45,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.aerocivil.gov.co/atencion/estadisticas-de-las-actividades-aeronauticas/Estadsticas%20operacionales/Estad%C3%ADsticas%20de%20Tr%C3%A1fico%20de%20Aeropuertos%20Diciembre%202022.xlsx,below_5m_passengers,https://www.aerocivil.gov.co/atencion/estadisticas-de-las-actividades-aeronauticas/Estadsticas%20operacionales/Estad%C3%ADsticas%20de%20Tr%C3%A1fico%20de%20Aeropuertos%20Diciembre%202022.xlsx
Baise (Bose) Bama Airport,Baise (Bose) Bama Airport,AEB,ZGBS,ZGBS,CN,China,CN-45,Baise (Tianyang),Baise (Tianyang),23.7206,106.959999,medium_airport,yes,46267,2022,medium_airport,medium,40,medium,https://bs.airport.gx.cn/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202303/P020230317397015127619.xlsx,below_5m_passengers,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202303/P020230317397015127619.xlsx
Abeche Airport,Abeche Airport,AEH,FTTC,FTTC,TD,Chad,TD-OD,Abeche,Abeche,13.847,20.844299,medium_airport,yes,,,unknown,unrated,,unknown,,,https://davidmegginson.github.io/ourairports-data/airports.csv,,,missing_passenger_data,
Aeroparque Jorge Newbery,Aeroparque Jorge Newbery,AEP,SABE,SABE,AR,Argentina,AR-C,Buenos Aires,Buenos Aires,-34.559419,-58.415536,large_airport,yes,1287415,2022,medium_airport,medium,45,medium,https://www.aeropuertosargentina.com/es/AEP,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://datos.anac.gob.ar/static/docs/series-hist-ricas-anac.xlsx,below_5m_passengers,https://datos.anac.gob.ar/static/docs/series-hist-ricas-anac.xlsx
Ålesund Airport,Ålesund Airport,AES,ENAL,ENAL,NO,Norway,NO-15,Ålesund,Ålesund,62.560443,6.110845,large_airport,yes,923734,2022,medium_airport,medium,45,medium,https://www.avinor.no/airport/alesund/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://avinor.no/globalassets/trondheim-lufthavn/shopping/12.2022.xlsx,below_5m_passengers,https://avinor.no/globalassets/trondheim-lufthavn/shopping/12.2022.xlsx
Abu Musa Island Airport,Abu Musa Island Airport,AEU,OIBA,OIBA,IR,Iran,IR-22,Abu Musa,Abu Musa,25.8757,55.033001,medium_airport,yes,,,unknown,unrated,,unknown,,,https://davidmegginson.github.io/ourairports-data/airports.csv,,,missing_passenger_data,
Alexandria International Airport,Alexandria International Airport,AEX,KAEX,KAEX,US,United States,US-LA,Alexandria,Alexandria,31.325828,-92.546702,medium_airport,yes,283664,2019,medium_airport,medium,40,medium,https://www.alexandria-louisiana.com/alexandria-international-airport.htm,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,below_5m_passengers,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx
Akureyri International Airport,Akureyri International Airport,AEY,BIAR,BIAR,IS,Iceland,IS-6,Akureyri,Akureyri,65.656573,-18.072018,large_airport,yes,195763,2022,medium_airport,medium,45,medium,https://www.innanlandsflugvellir.is/en/akureyri-airport/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.isavia.is/media/1/12-des-2022-tolur-fyrir-vefsiduna-1.xlsx,below_5m_passengers,https://www.isavia.is/media/1/12-des-2022-tolur-fyrir-vefsiduna-1.xlsx
Suboficial Ay Santiago Germano Airport,Suboficial Ay Santiago Germano Airport,AFA,SAMR,SAMR,AR,Argentina,AR-M,San Rafael,San Rafael,-34.588299,-68.4039,medium_airport,yes,5107,2022,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://datos.anac.gob.ar/static/docs/series-hist-ricas-anac.xlsx,below_5m_passengers,https://datos.anac.gob.ar/static/docs/series-hist-ricas-anac.xlsx
Piloto Osvaldo Marques Dias Airport,Piloto Osvaldo Marques Dias Airport,AFL,SBAT,SBAT,BR,Brazil,BR-MT,Alta Floresta,Alta Floresta,-9.866389,-56.106298,medium_airport,yes,54776,2022,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2022.csv,below_5m_passengers,https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2022.csv
Sabzevar National Airport,Sabzevar National Airport,AFZ,OIMS,OIMS,IR,Iran,IR-09,Sabzevar,Sabzevar,36.16809844970703,57.59519958496094,medium_airport,yes,,,unknown,unrated,,unknown,,,https://davidmegginson.github.io/ourairports-data/airports.csv,,,missing_passenger_data,
Al Massira Airport,Al Massira Airport,AGA,GMAD,GMAD,MA,Morocco,MA-09,Agadir (Temsia),Agadir (Temsia),30.322478,-9.412003,large_airport,yes,1774605,2022,medium_airport,medium,45,medium,http://www.agadir-airport.com/en/index.php,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.onda.ma/content/download/13540/176818/version/28/fichier/Les+statistiques+du+trafic+a%C3%A9rien+du+mois+de+d%C3%A9cembre+2022.xlsx,below_5m_passengers,https://www.onda.ma/content/download/13540/176818/version/28/fichier/Les+statistiques+du+trafic+a%C3%A9rien+du+mois+de+d%C3%A9cembre+2022.xlsx
Ängelholm-Helsingborg Airport,Ängelholm-Helsingborg Airport,AGH,ESTA,ESTA,SE,Sweden,SE-M,Ängelholm,Ängelholm,56.29610061645508,12.847100257873535,medium_airport,yes,191815,2022,medium_airport,medium,40,medium,http://www.lfv.se/templates/LFV_AirportStartPage____4777.aspx,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.transportstyrelsen.se/globalassets/global/luftfart/statistik_och_analys/flygplatsstatistik-excelfiler/230116-passagerarfrekvens-per-flygplats.xlsx,below_5m_passengers,https://www.transportstyrelsen.se/globalassets/global/luftfart/statistik_och_analys/flygplatsstatistik-excelfiler/230116-passagerarfrekvens-per-flygplats.xlsx
Agra Airport / Agra Air Force Station,Agra Airport / Agra Air Force Station,AGR,VIAG,VIAG,IN,India,IN-UP,Agra,Agra,27.157975,77.961025,medium_airport,yes,12663,2022,medium_airport,medium,40,medium,https://www.aai.aero/en/airports/agra,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.aai.aero/sites/default/files/traffic-news/Jun2k22Annex3.pdf,below_5m_passengers,https://www.aai.aero/sites/default/files/traffic-news/Jun2k22Annex3.pdf
Augusta Regional At Bush Field,Augusta Regional At Bush Field,AGS,KAGS,KAGS,US,United States,US-GA,Augusta,Augusta,33.3699,-81.9645,medium_airport,yes,660990,2019,medium_airport,medium,40,medium,http://www.augustaregionalairport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,below_5m_passengers,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx
