airport_name,display_name,iata_code,icao_code,ourairports_ident,country_code,country_name,region_code,city,municipality,latitude,longitude,airport_type,scheduled_service,annual_passengers,passenger_year,passenger_tier,strategic_priority,automation_potential_score,automation_potential_tier,website,linkedin_url,source_identity,source_traffic,source_url,rejection_reason,traffic_source_url
Rajahmundry Airport,Rajahmundry Airport,RJA,VORY,VORY,IN,India,IN-AP,Madhurapudi,Madhurapudi,17.105799,81.813204,medium_airport,yes,38897,2022,medium_airport,medium,40,medium,http://aai.aero/allAirports/rajahmundry_generalinfo.jsp,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.aai.aero/sites/default/files/traffic-news/Dec2k22Annex3.pdf,below_5m_passengers,https://www.aai.aero/sites/default/files/traffic-news/Dec2k22Annex3.pdf
Shah Makhdum Airport,Shah Makhdum Airport,RJH,VGRJ,VGRJ,BD,Bangladesh,BD-5,Rajshahi,Rajshahi,24.437201,88.616501,medium_airport,yes,84000,2018,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/SYB-2018.pdf,below_5m_passengers,http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/SYB-2018.pdf
Rijeka Airport,Rijeka Airport,RJK,LDRI,LDRI,HR,Croatia,HR-08,Rijeka(Omišalj),Rijeka(Omišalj),45.216376,14.57085,large_airport,yes,164086,2022,medium_airport,medium,45,medium,https://www.rijeka-airport.hr/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.exyuaviation.com/2023/01/former-yugoslav-airports-handle-over-26.html,below_5m_passengers,https://www.exyuaviation.com/2023/01/former-yugoslav-airports-handle-over-26.html
Rafsanjan Airport,Rafsanjan Airport,RJN,OIKR,OIKR,IR,Iran,IR-08,Rafsanjan,Rafsanjan,30.298345,56.048979,medium_airport,yes,,,unknown,unrated,,unknown,,,https://davidmegginson.github.io/ourairports-data/airports.csv,,,missing_passenger_data,
Knox County Regional Airport,Knox County Regional Airport,RKD,KRKD,KRKD,US,United States,US-ME,Rockland,Rockland,44.060101,-69.099197,medium_airport,yes,34332,2019,medium_airport,medium,40,medium,http://knoxcountymaine.gov/index.asp?Type=B_BASIC&SEC=%7BCC504E7C-164D-470F-B75E-5569CACFD927%7D,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,below_5m_passengers,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx
Copenhagen Roskilde Airport,Copenhagen Roskilde Airport,RKE,EKRK,EKRK,DK,Denmark,DK-85,Roskilde,Roskilde,55.585602,12.1314,medium_airport,yes,27641,2022,medium_airport,medium,40,medium,http://www.rke.dk,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://stat.trafikstyrelsen.dk/,below_5m_passengers,http://stat.trafikstyrelsen.dk/
Southwest Wyoming Regional Airport,Southwest Wyoming Regional Airport,RKS,KRKS,KRKS,US,United States,US-WY,Rock Springs,Rock Springs,41.5942,-109.065001,medium_airport,yes,48112,2019,medium_airport,medium,40,medium,http://rockspringsairport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,below_5m_passengers,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx
Ras Al Khaimah International Airport,Ras Al Khaimah International Airport,RKT,OMRK,OMRK,AE,United Arab Emirates,AE-RK,Ras Al Khaimah,Ras Al Khaimah,25.613501,55.938801,large_airport,yes,,,unknown,unrated,,unknown,,,https://davidmegginson.github.io/ourairports-data/airports.csv,,,missing_passenger_data,
Reykjavík Domestic Airport,Reykjavík Domestic Airport,RKV,BIRK,BIRK,IS,Iceland,IS-1,Reykjavík,Reykjavík,64.128732,-21.93759,medium_airport,yes,348773,2022,medium_airport,medium,40,medium,https://www.isavia.is/en/reykjavik-airport,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.isavia.is/media/1/12-des-2022-tolur-fyrir-vefsiduna-1.xlsx,below_5m_passengers,https://www.isavia.is/media/1/12-des-2022-tolur-fyrir-vefsiduna-1.xlsx
Xigaze Peace Airport / Shigatse Air Base,Xigaze Peace Airport / Shigatse Air Base,RKZ,ZURK,ZURK,CN,China,CN-54,Xigazê (Samzhubzê),Xigazê (Samzhubzê),29.350876,89.299157,large_airport,yes,90783,2022,medium_airport,medium,45,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202303/P020230317397015127619.xlsx,below_5m_passengers,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202303/P020230317397015127619.xlsx
