airport_name,display_name,iata_code,icao_code,ourairports_ident,country_code,country_name,region_code,city,municipality,latitude,longitude,airport_type,scheduled_service,source_identity
Zomin Airport,Zomin Airport,OMN,UZTZ,UTTZ,UZ,Uzbekistan,UZ-JI,Zomin,Zomin,40.01402,68.41103,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Enrique Adolfo Jimenez Airport,Enrique Adolfo Jimenez Airport,ONX,MPEJ,MPEJ,PA,Panama,PA-3,Colón,Colón,9.35664,-79.867401,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Balimo Airport,Balimo Airport,OPU,AYBM,AYBM,PG,Papua New Guinea,PG-WPD,Balimo,Balimo,-8.05000019073,142.932998657,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Northway Airport,Northway Airport,ORT,PAOR,PAOR,US,United States,US-AK,Northway,Northway,62.9613,-141.929001,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Juan Mendoza International Airport,Juan Mendoza International Airport,ORU,SLOR,SLOR,BO,Bolivia,BO-O,Oruro,Oruro,-17.956151,-67.075829,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Tazadit Airport,Tazadit Airport,OUZ,GQPZ,GQPZ,MR,Mauritania,MR-11,Zouérate,Zouérate,22.757345,-12.482228,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Oyem Airport,Oyem Airport,OYE,FOGO,FOGO,GA,Gabon,GA-9,Oyem,Oyem,1.5431100130081177,11.581399917602539,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Paro International Airport,Paro International Airport,PBH,VQPR,VQPR,BT,Bhutan,BT-11,Paro,Paro,27.4032,89.424599,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Putao Airport,Putao Airport,PBU,VYPT,VYPT,MM,Myanmar,MM-11,Putao,Putao,27.32990074157715,97.42630004882812,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Principe Airport,Principe Airport,PCP,FPPR,FPPR,ST,São Tomé and Principe,ST-P,São Tomé & Príncipe,São Tomé & Príncipe,1.661155,7.411081,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Pendopo Airport,Pendopo Airport,PDO,WIPQ,WIPQ,ID,Indonesia,ID-SS,Talang Gudang-Sumatra Island,Talang Gudang-Sumatra Island,-3.2860701084136963,103.87999725341797,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Bacha Khan International Airport,Bacha Khan International Airport,PEW,OPPS,OPPS,PK,Pakistan,PK-KP,Peshawar,Peshawar,33.9939,71.514603,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Port Harcourt City Airport / Port Harcourt Air Force Base,Port Harcourt City Airport / Port Harcourt Air Force Base,PHG,DNPM,NG-0004,NG,Nigeria,NG-RI,Port Harcourt,Port Harcourt,4.846111,7.021389,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Pokhara International Airport,Pokhara International Airport,PHH,,NP-0003,NP,Nepal,NP-P4,Pokhara,Pokhara,28.1838,84.0147,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Hendrik Van Eck Airport,Hendrik Van Eck Airport,PHW,FAPH,FAPH,ZA,South Africa,ZA-NP,Phalaborwa,Phalaborwa,-23.937200546299998,31.1553993225,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Pakse International Airport,Pakse International Airport,PKZ,VLPS,VLPS,LA,Laos,LA-CH,Pakse,Pakse,15.133973,105.779871,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Placencia Airport,Placencia Airport,PLJ,MZPL,MZPL,BZ,Belize,BZ-SC,Placencia,Placencia,16.536957,-88.361511,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Providenciales International Airport,Providenciales International Airport,PLS,MBPV,MBPV,TC,Turks and Caicos Islands,TC-PR,Providenciales,Providenciales,21.773697,-72.268321,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Perito Moreno Jalil Hamer Airport,Perito Moreno Jalil Hamer Airport,PMQ,SAWP,SAWP,AR,Argentina,AR-Z,Perito Moreno,Perito Moreno,-46.537899,-70.978699,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Del Caribe Santiago Mariño International Airport,Del Caribe Santiago Mariño International Airport,PMV,SVMG,SVMG,VE,Venezuela,VE-O,Isla Margarita,Isla Margarita,10.912603,-63.966599,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Pohnpei International Airport,Pohnpei International Airport,PNI,PTPN,PTPN,FM,Micronesia,FM-PNI,Pohnpei Island,Pohnpei Island,6.985082,158.20992,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Girua Airport,Girua Airport,PNP,AYGR,AYGR,PG,Papua New Guinea,PG-NPP,Popondetta,Popondetta,-8.80453968048,148.309005737,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Port Moresby Jacksons International Airport,Port Moresby Jacksons International Airport,POM,AYPY,AYPY,PG,Papua New Guinea,PG-NCD,Port Moresby,Port Moresby,-9.443380355834961,147.22000122070312,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Praslin Island Airport,Praslin Island Airport,PRI,FSPP,FSPP,SC,Seychelles,SC-14,Praslin Island,Praslin Island,-4.319256,55.691561,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Pangsuma Airport,Pangsuma Airport,PSU,WIOP,WIOP,ID,Indonesia,ID-KB,Putussibau-Borneo Island,Putussibau-Borneo Island,0.834579,112.940217,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Capitán Av. Salvador Ogaya G. airport,Capitán Av. Salvador Ogaya G. airport,PSZ,SLPS,SLPS,BO,Bolivia,BO-S,Puerto Suárez,Puerto Suárez,-18.975301,-57.820599,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Polokwane International Airport,Polokwane International Airport,PTG,FAPP,FAPP,ZA,South Africa,ZA-NP,Polokwane,Polokwane,-23.845269,29.458615,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Portland Airport,Portland Airport,PTJ,YPOD,YPOD,AU,Australia,AU-VIC,,,-38.31809997558594,141.4709930419922,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Puerto Deseado Airport,Puerto Deseado Airport,PUD,SAWD,SAWD,AR,Argentina,AR-Z,Puerto Deseado,Puerto Deseado,-47.7353,-65.9041,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Port Augusta Airport,Port Augusta Airport,PUG,YPAG,YPAG,AU,Australia,AU-SA,,,-32.506900787353516,137.7169952392578,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Surin Airport,Surin Airport,PXR,VTUJ,VTUJ,TH,Thailand,TH-32,Surin,Surin,14.868300437927,103.49800109863,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Payam International Airport,Payam International Airport,PYK,OIIP,OIIP,IR,Iran,IR-30,Karaj,Karaj,35.7761,50.826698,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Pietermaritzburg Airport,Pietermaritzburg Airport,PZB,FAPM,FAPM,ZA,South Africa,ZA-NL,Pietermaritzburg,Pietermaritzburg,-29.649000167799997,30.3987007141,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Zhob Airport,Zhob Airport,PZH,OPZB,OPZB,PK,Pakistan,PK-BA,Fort Sandeman,Fort Sandeman,31.358400344848633,69.4636001586914,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
General Manuel Carlos Piar International Airport,General Manuel Carlos Piar International Airport,PZO,SVPR,SVPR,VE,Venezuela,VE-F,Guyana City,Guyana City,8.28853,-62.760399,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Port Sudan New International Airport,Port Sudan New International Airport,PZU,HSPN,HSPN,SD,Sudan,SD-26,Port Sudan,Port Sudan,19.434558,37.234125,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Bella Coola Airport,Bella Coola Airport,QBC,CYBD,CYBD,CA,Canada,CA-BC,Bella Coola,Bella Coola,52.387501,-126.596001,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Akwa Ibom International Airport,Akwa Ibom International Airport,QUO,DNAI,DNAI,NG,Nigeria,NG-AK,Uyo,Uyo,4.8725,8.093,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Tokua Airport,Tokua Airport,RAB,AYTK,AYTK,PG,Papua New Guinea,PG-EBR,Kokopo,Kokopo,-4.34046,152.380005,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Rarotonga International Airport,Rarotonga International Airport,RAR,NCRG,NCRG,CK,Cook Islands,CK-U-A,Avarua,Avarua,-21.2027,-159.806,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Richards Bay Airport,Richards Bay Airport,RCB,FARB,FARB,ZA,South Africa,ZA-NL,Richards Bay,Richards Bay,-28.740999221800003,32.0920982361,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
"Rewa Airport, Chorhata, REWA","Rewa Airport, Chorhata, REWA",REW,,VA1G,IN,India,IN-MP,Rewa,Rewa,24.503401,81.220299,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Yangon International Airport,Yangon International Airport,RGN,VYYY,VYYY,MM,Myanmar,MM-06,Yangon,Yangon,16.907300949099998,96.1332015991,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Orang (Chongjin) Airport,Orang (Chongjin) Airport,RGO,ZKHM,ZKHM,KP,North Korea,KP-09,Hoemun-ri,Hoemun-ri,41.428538,129.647555,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Capitán Av. Selin Zeitun Lopez Airport,Capitán Av. Selin Zeitun Lopez Airport,RIB,SLRI,SLRI,BO,Bolivia,BO-B,Riberalta,Riberalta,-11.009355,-66.075468,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Riyan International Airport,Riyan International Airport,RIY,OYRN,OYRN,YE,Yemen,YE-HD,Mukalla(Riyan),Mukalla(Riyan),14.662241,49.375289,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
