airport_name,display_name,iata_code,icao_code,ourairports_ident,country_code,country_name,region_code,city,municipality,latitude,longitude,airport_type,scheduled_service,source_identity
Nausori International Airport,Nausori International Airport,SUV,NFNA,NFNA,FJ,Fiji,FJ-C,Nausori,Nausori,-18.044226,178.561486,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Argyle International Airport,Argyle International Airport,SVD,TVSA,TVSA,VC,Saint Vincent and the Grenadines,VC-04,Kingstown,Kingstown,13.159725,-61.148801,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Juan Vicente Gómez International Airport,Juan Vicente Gómez International Airport,SVZ,SVSA,SVSA,VE,Venezuela,VE-S,San Antonio del Tachira,San Antonio del Tachira,7.840809,-72.439878,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Soyo Airport,Soyo Airport,SZA,FNSO,FNSO,AO,Angola,AO-ZAI,Soyo,Soyo,-6.141089916229248,12.371800422668457,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Skukuza Airport,Skukuza Airport,SZK,FASZ,FASZ,ZA,South Africa,ZA-MP,Skukuza,Skukuza,-24.96085,31.588587,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Whitegrass Airport,Whitegrass Airport,TAH,NVVW,NVVW,VU,Vanuatu,VU-TAE,Tanna Island,Tanna Island,-19.455099,169.223999,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Taiz International Airport,Taiz International Airport,TAI,OYTZ,OYTZ,YE,Yemen,YE-TA,Taiz,Taiz,13.686,44.139099,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Dashoguz International Airport,Dashoguz International Airport,TAZ,UTAT,UTAT,TM,Turkmenistan,TM-D,Daşoguz,Daşoguz,41.759853,59.836149,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
New Bight Airport,New Bight Airport,TBI,MYCB,MYCB,BS,Bahamas,BS-CI,Cat Island,Cat Island,24.3153,-75.452301,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Tabarka-Aïn Draham International Airport,Tabarka-Aïn Draham International Airport,TBJ,DTKA,DTKA,TN,Tunisia,TN-32,Tabarka,Tabarka,36.98,8.87694,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Fua'amotu International Airport,Fua'amotu International Airport,TBU,NFTF,NFTF,TO,Tonga,TO-04,Nuku'alofa,Nuku'alofa,-21.241438,-175.149164,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Treasure Cay Airport,Treasure Cay Airport,TCB,MYAT,MYAT,BS,Bahamas,BS-CO,Treasure Cay,Treasure Cay,26.745300293,-77.3912963867,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Teniente Av. Jorge Henrich Arauz Airport,Teniente Av. Jorge Henrich Arauz Airport,TDD,SLTR,SLTR,BO,Bolivia,BO-B,Trinidad,Trinidad,-14.8187,-64.917999,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Touggourt Sidi Madhi Airport,Touggourt Sidi Madhi Airport,TGR,DAUK,DAUK,DZ,Algeria,DZ-55,Touggourt,Touggourt,33.067799,6.08867,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Thangool Airport,Thangool Airport,THG,YTNG,YTNG,AU,Australia,AU-QLD,Biloela,Biloela,-24.494863,150.577967,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Tachileik Airport,Tachileik Airport,THL,VYTL,VYTL,MM,Myanmar,MM-17,Tachileik,Tachileik,20.483800888061523,99.9354019165039,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Pituffik Space Base,Pituffik Space Base,THU,BGTL,BGTL,GL,Greenland,GL-AV,Pituffik,Pituffik,76.53063,-68.700541,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Tindouf Airport,Tindouf Airport,TIN,DAOF,DAOF,DZ,Algeria,DZ-37,Tindouf,Tindouf,27.7003993988,-8.167099952700001,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Timaru Airport,Timaru Airport,TIU,NZTU,NZTU,NZ,New Zealand,NZ-CAN,,,-44.302799224853516,171.22500610351562,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Capitan Oriel Lea Plaza Airport,Capitan Oriel Lea Plaza Airport,TJA,SLTJ,SLTJ,BO,Bolivia,BO-T,Tarija,Tarija,-21.5557,-64.701302,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Warukin Airport,Warukin Airport,TJG,WAON,WAON,ID,Indonesia,ID-KS,Tanta-Tabalong,Tanta-Tabalong,-2.21656,115.435997,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Kulob International Airport,Kulob International Airport,TJU,UTDK,UTDK,TJ,Tajikistan,TJ-KT,Kulob,Kulob,37.988098,69.805,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Takoradi Airport,Takoradi Airport,TKD,DGTK,DGTK,GH,Ghana,GH-WP,Sekondi-Takoradi,Sekondi-Takoradi,4.896059989929199,-1.7747600078582764,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Chuuk International Airport,Chuuk International Airport,TKK,PTKK,PTKK,FM,Micronesia,FM-TRK,Weno Island,Weno Island,7.46187,151.843002,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Tanah Merah Airport,Tanah Merah Airport,TMH,WAKT,WAKT,ID,Indonesia,ID-PS,Tanah Merah,Tanah Merah,-6.09669,140.303521,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Aguenar – Hadj Bey Akhamok Airport,Aguenar – Hadj Bey Akhamok Airport,TMR,DAAT,DAAT,DZ,Algeria,DZ-11,Tamanrasset,Tamanrasset,22.810992,5.450832,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Timimoun Airport,Timimoun Airport,TMX,DAUT,DAUT,DZ,Algeria,DZ-54,Timimoun,Timimoun,29.237101,0.276033,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Alberto Delgado Airport,Alberto Delgado Airport,TND,MUTD,MUTD,CU,Cuba,CU-07,Trinidad,Trinidad,21.7883,-79.9972,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Tozeur Nefta International Airport,Tozeur Nefta International Airport,TOE,DTTZ,DTTZ,TN,Tunisia,TN-72,Tozeur,Tozeur,33.939701080322266,8.110560417175293,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Tombouktou Airport,Tombouktou Airport,TOM,GATB,GATB,ML,Mali,ML-7,Timbuktu,Timbuktu,16.730499,-3.00758,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
China Bay Airport,China Bay Airport,TRR,VCCT,VCCT,LK,Sri Lanka,LK-5,Trincomalee,Trincomalee,8.539159,81.18128,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Toraja Airport,Toraja Airport,TRT,WAFB,WAFB,ID,Indonesia,ID-SS,Toraja,Toraja,-3.185833,119.91775,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Bonriki International Airport,Bonriki International Airport,TRW,NGTA,NGTA,KI,Kiribati,KI-G,South Tarawa,South Tarawa,1.38164,173.147003,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Lieutenant Colonel Luis A. Mantilla International Airport,Lieutenant Colonel Luis A. Mantilla International Airport,TUA,SETU,SETU,EC,Ecuador,EC-C,Tulcán,Tulcán,0.809506,-77.708099,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Turbat International Airport,Turbat International Airport,TUK,OPTU,OPTU,PK,Pakistan,PK-BA,Turbat,Turbat,25.984767,63.028856,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Taupo Airport,Taupo Airport,TUO,NZAP,NZAP,NZ,New Zealand,NZ-WKO,Taupo,Taupo,-38.73970031738281,176.08399963378906,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Tashkent-Khumo International Airport,Tashkent-Khumo International Airport,TVT,UZTP,UTTP,UZ,Uzbekistan,UZ-TO,Tashkent,Tashkent,41.312889,69.395535,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Dawei Airport,Dawei Airport,TVY,VYDW,VYDW,MM,Myanmar,MM-05,Dawei,Dawei,14.1039,98.203598,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Rembele Airport,Rembele Airport,TXE,WITK,WITK,ID,Indonesia,ID-AC,Takengon,Takengon,4.72113,96.851943,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Sir Barry Bowen Municipal Airport,Sir Barry Bowen Municipal Airport,TZA,,BZ-TZA,BZ,Belize,BZ-BZ,Belize City,Belize City,17.517239,-88.195775,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Congo Town Airport,Congo Town Airport,TZN,MYAK,MYAK,BS,Bahamas,BS-SA,Andros,Andros,24.158701,-77.589798,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
"Commander in Chief of FALINTIL, Kay Rala Xanana Gusmão, International Airport","Commander in Chief of FALINTIL, Kay Rala Xanana Gusmão, International Airport",UAI,WPDB,WPDB,TL,Timor-Leste,TL-CO,Suai,Suai,-9.301856,125.286302,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Ulaanbaatar Chinggis Khaan International Airport,Ulaanbaatar Chinggis Khaan International Airport,UBN,ZMCK,ZMCK,MN,Mongolia,MN-047,Ulaanbaatar (Sergelen),Ulaanbaatar (Sergelen),47.646916,106.819833,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Quetta International Airport,Quetta International Airport,UET,OPQT,OPQT,PK,Pakistan,PK-BA,Quetta,Quetta,30.2514,66.937798,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Bulgan Airport,Bulgan Airport,UGA,ZMBN,ZMBN,MN,Mongolia,MN-067,Bulgan,Bulgan,48.85499954223633,103.47599792480469,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Bilorai Airport,Bilorai Airport,UGU,,ID-ZGP,ID,Indonesia,ID-PT,Bilogai,Bilogai,-3.739503,137.031183,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Utkela Airport,Utkela Airport,UKE,VEUK,VEUK,IN,India,IN-OR,Bhawanipatna,Bhawanipatna,20.097778,83.183333,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Ölgii Mongolei International Airport,Ölgii Mongolei International Airport,ULG,ZMUL,ZMUL,MN,Mongolia,MN-071,Ölgii,Ölgii,48.993301,89.922501,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Ulaangom Airport,Ulaangom Airport,ULO,ZMUG,ZMUG,MN,Mongolia,MN-046,Ulaangom,Ulaangom,50.066588,91.938273,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Quilpie Airport,Quilpie Airport,ULP,YQLP,YQLP,AU,Australia,AU-QLD,,,-26.609176,144.253746,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Gulu Airport,Gulu Airport,ULU,HUGU,HUGU,UG,Uganda,UG-N,Gulu,Gulu,2.8055601119995117,32.27180099487305,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Union Island International Airport,Union Island International Airport,UNI,TVSU,TVSU,VC,Saint Vincent and the Grenadines,VC-06,Union Island,Union Island,12.600135,-61.411945,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
K. D. Matanzima Airport,K. D. Matanzima Airport,UTT,FAUT,FAUT,ZA,South Africa,ZA-EC,Mthatha,Mthatha,-31.546363184900002,28.6733551025,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Nyala Airport,Nyala Airport,UYL,HSNN,HSNN,SD,Sudan,SD-11,Nyala,Nyala,12.0535,24.9562,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Joya Andina International Airport,Joya Andina International Airport,UYU,SLUY,SLUY,BO,Bolivia,BO-P,Quijarro,Quijarro,-20.441304,-66.857553,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Vanimo Airport,Vanimo Airport,VAI,AYVN,AYVN,PG,Papua New Guinea,PG-SAN,Vanimo,Vanimo,-2.6926,141.3028,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Villa International Airport Maamigili,Villa International Airport Maamigili,VAM,VRMV,VRMV,MV,Maldives,MV-00,Maamigili,Maamigili,3.471751,72.832633,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Vanavara Airport,Vanavara Airport,VAQ,,UNIW,RU,Russia,RU-KYA,Vanavara,Vanavara,60.356229,102.309641,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Vava'u International Airport,Vava'u International Airport,VAV,NFTV,NFTV,TO,Tonga,TO-05,Vava'u Island,Vava'u Island,-18.5853,-173.962006,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Severo-Yeniseysk Airport,Severo-Yeniseysk Airport,VEO,,UNIS,RU,Russia,RU-KYA,Severo-Yeniseysk,Severo-Yeniseysk,60.373299,93.011703,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Victoria Falls International Airport,Victoria Falls International Airport,VFA,FVFA,FVFA,ZW,Zimbabwe,ZW-MN,Victoria Falls,Victoria Falls,-18.097437,25.836867,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Juan Pablo Pérez Alfonso Airport,Juan Pablo Pérez Alfonso Airport,VIG,SVVG,SVVG,VE,Venezuela,VE-L,El Vigía,El Vigía,8.624139,-71.672668,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Virgin Gorda Airport,Virgin Gorda Airport,VIJ,TUPW,TUPW,VG,British Virgin Islands,VG-U-A,Spanish Town,Spanish Town,18.446634,-64.427932,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Bauerfield International Airport,Bauerfield International Airport,VLI,NVVV,NVVV,VU,Vanuatu,VU-SEE,Port Vila,Port Vila,-17.699301,168.320007,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Arturo Michelena International Airport,Arturo Michelena International Airport,VLN,SVVA,SVVA,VE,Venezuela,VE-G,Valencia,Valencia,10.149733,-67.928398,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Dr. Antonio Nicolás Briceño Airport,Dr. Antonio Nicolás Briceño Airport,VLV,SVVL,SVVL,VE,Venezuela,VE-T,Valera,Valera,9.340478,-70.584061,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Baimuru Airport,Baimuru Airport,VMU,AYBA,AYBA,PG,Papua New Guinea,PG-GPK,Baimuru,Baimuru,-7.496955,144.821756,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Vilankulo Airport,Vilankulo Airport,VNX,FQVL,FQVL,MZ,Mozambique,MZ-I,Vilanculo,Vilanculo,-22.018400192260742,35.31330108642578,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Ngjiva Pereira Airport,Ngjiva Pereira Airport,VPE,FNGI,FNGI,AO,Angola,AO-CNN,Ngiva,Ngiva,-17.0435009003,15.683799743700002,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Chimoio Airport,Chimoio Airport,VPY,FQCH,FQCH,MZ,Mozambique,MZ-B,Chimoio,Chimoio,-19.15130043029785,33.42900085449219,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Juan Gualberto Gomez International Airport,Juan Gualberto Gomez International Airport,VRA,MUVR,MUVR,CU,Cuba,CU-04,Matanzas,Matanzas,23.034401,-81.435303,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Wattay International Airport,Wattay International Airport,VTE,VLVT,VLVT,LA,Laos,LA-VT,Vientiane,Vientiane,17.985052,102.566692,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Hermanos Ameijeiras Airport,Hermanos Ameijeiras Airport,VTU,MUVT,MUVT,CU,Cuba,CU-10,Las Tunas,Las Tunas,20.9876,-76.935799,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Velikiy Ustyug Airport,Velikiy Ustyug Airport,VUS,ULWU,ULWU,RU,Russia,RU-VLG,Velikiy Ustyug,Velikiy Ustyug,60.7883,46.259998,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Illizi Takhamalt Airport,Illizi Takhamalt Airport,VVZ,DAAP,DAAP,DZ,Algeria,DZ-33,Illizi,Illizi,26.723499,8.62265,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Lichinga Airport,Lichinga Airport,VXC,FQLC,FQLC,MZ,Mozambique,MZ-A,Lichinga,Lichinga,-13.274,35.2663,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Wanganui Airport,Wanganui Airport,WAG,NZWU,NZWU,NZ,New Zealand,NZ-MWT,Wanganui,Wanganui,-39.963467,175.02444,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Wapenamanda Airport,Wapenamanda Airport,WBM,AYWD,AYWD,PG,Papua New Guinea,PG-EPW,Wapenamanda,Wapenamanda,-5.635293,143.892231,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Walgett Airport,Walgett Airport,WGE,YWLG,YWLG,AU,Australia,AU-NSW,,,-30.032801,148.126007,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Whakatāne Airport,Whakatāne Airport,WHK,NZWK,NZWK,NZ,New Zealand,NZ-BOP,Whakatāne,Whakatāne,-37.922224,176.91696,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Winton Airport,Winton Airport,WIN,YWTN,YWTN,AU,Australia,AU-QLD,,,-22.36359977722168,143.08599853515625,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Wajir Airport,Wajir Airport,WJR,HKWJ,HKWJ,KE,Kenya,KE-08,Wajir,Wajir,1.73324,40.091599,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Wanaka Airport,Wanaka Airport,WKA,NZWF,NZWF,NZ,New Zealand,NZ-OTA,Wanaka,Wanaka,-44.722091,169.246287,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Aleknagik / New Airport,Aleknagik / New Airport,WKK,,5A8,US,United States,US-AK,Aleknagik,Aleknagik,59.2826004028,-158.617996216,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Maroantsetra Airport,Maroantsetra Airport,WMN,FMNR,FMNR,MG,Madagascar,MG-A,Maroantsetra,Maroantsetra,-15.437742,49.689081,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Matahora Airport,Matahora Airport,WNI,WAWD,WAWD,ID,Indonesia,ID-SG,Wangi-wangi Island,Wangi-wangi Island,-5.292123,123.636233,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Windorah Airport,Windorah Airport,WNR,YWDH,YWDH,AU,Australia,AU-QLD,Windorah,Windorah,-25.410641,142.668428,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Shaheed Benazirabad Airport,Shaheed Benazirabad Airport,WNS,OPNH,OPNH,PK,Pakistan,PK-SD,Nawabashah,Nawabashah,26.2194,68.390099,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Wonsan Kalma Airport,Wonsan Kalma Airport,WOS,ZKWS,ZKWS,KP,North Korea,KP-07,Wonsan,Wonsan,39.165219,127.487931,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Whangarei Airport,Whangarei Airport,WRE,NZWR,NZWR,NZ,New Zealand,NZ-NTL,Whangarei,Whangarei,-35.769253,174.363713,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
[Duplicate] Western Sydney International Airport,[Duplicate] Western Sydney International Airport,WSI,YSWS,YSWS,AU,Australia,AU-NSW,Sydney,Sydney,-33.88806,150.71472,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Westport Airport,Westport Airport,WSZ,NZWS,NZWS,NZ,New Zealand,NZ-WTC,Westport,Westport,-41.737111,171.579033,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Wiluna Airport,Wiluna Airport,WUN,YWLU,YWLU,AU,Australia,AU-WA,,,-26.629199981689453,120.22100067138672,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Wau Airport,Wau Airport,WUU,HSWW,HSWW,SS,South Sudan,SS-BW,Wau,Wau,7.72583,27.975,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Wewak International Airport,Wewak International Airport,WWK,AYWK,AYWK,PG,Papua New Guinea,PG-ESW,Wewak,Wewak,-3.58383011818,143.669006348,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Birjand International Airport,Birjand International Airport,XBJ,OIMB,OIMB,IR,Iran,IR-29,Birjand,Birjand,32.896525,59.281258,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Kasabonika Airport,Kasabonika Airport,XKS,CYAQ,CYAQ,CA,Canada,CA-ON,Kasabonika,Kasabonika,53.52470016479492,-88.6427993774414,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Coronel E Carvajal Airport,Coronel E Carvajal Airport,XMS,SEMC,SEMC,EC,Ecuador,EC-S,Macas,Macas,-2.2991700172424316,-78.12079620361328,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Palmerola International Airport,Palmerola International Airport,XPL,MHPR,MHSC,HN,Honduras,HN-CM,Palmerola,Palmerola,14.3824,-87.621201,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Qualicum Beach Airport,Qualicum Beach Airport,XQU,,CAT4,CA,Canada,CA-BC,Qualicum Beach,Qualicum Beach,49.337456,-124.393086,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
South Caicos Airport,South Caicos Airport,XSC,MBSC,MBSC,TC,Turks and Caicos Islands,TC-SC,South Caicos,South Caicos,21.515699,-71.528503,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Seletar Airport,Seletar Airport,XSP,WSSL,WSSL,SG,Singapore,SG-02,Seletar,Seletar,1.41555,103.86673,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Thargomindah Airport,Thargomindah Airport,XTG,YTGM,YTGM,AU,Australia,AU-QLD,Thargomindah,Thargomindah,-27.986368,143.812065,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Anahim Lake Airport,Anahim Lake Airport,YAA,,CAJ4,CA,Canada,CA-BC,Anahim Lake,Anahim Lake,52.451501,-125.303776,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Fort Frances Municipal Airport,Fort Frances Municipal Airport,YAG,CYAG,CYAG,CA,Canada,CA-ON,Fort Frances,Fort Frances,48.655749,-93.44349,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Yap International Airport,Yap International Airport,YAP,PTYA,PTYA,FM,Micronesia,FM-YAP,Yap Island,Yap Island,9.49891,138.082993,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
St. Anthony Airport,St. Anthony Airport,YAY,CYAY,CYAY,CA,Canada,CA-NL,St. Anthony,St. Anthony,51.391909,-56.08321,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Tofino / Long Beach Airport,Tofino / Long Beach Airport,YAZ,CYAZ,CYAZ,CA,Canada,CA-BC,Tofino,Tofino,49.079833,-125.775583,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Lourdes-de-Blanc-Sablon Airport,Lourdes-de-Blanc-Sablon Airport,YBX,CYBX,CYBX,CA,Canada,CA-QC,Blanc-Sablon,Blanc-Sablon,51.4436,-57.185299,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Bonnyville Airport,Bonnyville Airport,YBY,CYBF,CYBF,CA,Canada,CA-AB,Bonnyville,Bonnyville,54.304199,-110.744003,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Cambridge Bay Airport,Cambridge Bay Airport,YCB,CYCB,CYCB,CA,Canada,CA-NU,Cambridge Bay,Cambridge Bay,69.1081008911,-105.138000488,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Castlegar/West Kootenay Regional Airport,Castlegar/West Kootenay Regional Airport,YCG,CYCG,CYCG,CA,Canada,CA-BC,Castlegar,Castlegar,49.296398,-117.632004,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Charlo Airport,Charlo Airport,YCL,CYCL,CYCL,CA,Canada,CA-NB,Charlo,Charlo,47.990799,-66.330299,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Dawson City Airport,Dawson City Airport,YDA,CYDA,CYDA,CA,Canada,CA-YT,Dawson City,Dawson City,64.04309844970703,-139.1280059814453,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Dauphin Barker Airport,Dauphin Barker Airport,YDN,CYDN,CYDN,CA,Canada,CA-MB,Dauphin,Dauphin,51.1008,-100.052002,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Fort Simpson Airport,Fort Simpson Airport,YFS,CYFS,CYFS,CA,Canada,CA-NT,Fort Simpson,Fort Simpson,61.76020050048828,-121.23699951171875,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Michel-Pouliot Gaspé Airport,Michel-Pouliot Gaspé Airport,YGP,CYGP,CYGP,CA,Canada,CA-QC,Gaspé,Gaspé,48.774915,-64.481893,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Îles-de-la-Madeleine Airport,Îles-de-la-Madeleine Airport,YGR,CYGR,CYGR,CA,Canada,CA-QC,Les Îles-de-la-Madeleine,Les Îles-de-la-Madeleine,47.425242,-61.778612,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Kuujjuarapik Airport,Kuujjuarapik Airport,YGW,CYGW,CYGW,CA,Canada,CA-QC,Kuujjuarapik,Kuujjuarapik,55.281898498535156,-77.76529693603516,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Yogyakarta International Airport,Yogyakarta International Airport,YIA,WAHI,WAHI,ID,Indonesia,ID-YO,Yogyakarta,Yogyakarta,-7.905338,110.057264,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
St Augustin Airport,St Augustin Airport,YIF,CYIF,CYIF,CA,Canada,CA-QC,St-Augustin,St-Augustin,51.2117,-58.658298,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Schefferville Airport,Schefferville Airport,YKL,CYKL,CYKL,CA,Canada,CA-QC,Schefferville,Schefferville,54.805301666259766,-66.8052978515625,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Lloydminster Airport,Lloydminster Airport,YLL,CYLL,CYLL,CA,Canada,CA-AB,Lloydminster,Lloydminster,53.3092,-110.072998,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Moosonee Airport,Moosonee Airport,YMO,CYMO,CYMO,CA,Canada,CA-ON,Moosonee,Moosonee,51.291099548339844,-80.60780334472656,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
