airport_name,display_name,iata_code,icao_code,ourairports_ident,country_code,country_name,region_code,city,municipality,latitude,longitude,airport_type,scheduled_service,annual_passengers,passenger_year,passenger_tier,strategic_priority,automation_potential_score,automation_potential_tier,website,linkedin_url,source_identity,source_traffic,source_url
General Mitchell International Airport,General Mitchell International Airport,MKE,KMKE,KMKE,US,United States,US-WI,Milwaukee,Milwaukee,42.947201,-87.896599,large_airport,yes,5874372,2025,medium_airport,medium,45,medium,https://www.mitchellairport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.mitchellairport.com/application/files/1117/6970/7896/Historic_Enplaned_Deplaned.pdf
"Rhodes International Airport ""Diagoras""","Rhodes International Airport ""Diagoras""",RHO,LGRP,LGRP,GR,Greece,GR-L,Rhodes,Rhodes,36.405399,28.086201,large_airport,yes,5857036,2022,medium_airport,medium,45,medium,https://www.rho-airport.gr/el/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.fraport.com/content/dam/fraport-company/documents/investoren/finanz--und-verkehrszahlen/verkehrszahlen/konzern/2022/Monatliche%20Konzernverkehrszahlen.xlsx/_jcr_content/renditions/original.media_file.download_attachment.file/Monatliche%20Konzernverkehrszahlen.xlsx
Malta International Airport,Malta International Airport,MLA,LMML,LMML,MT,Malta,MT-25,Valletta,Valletta,35.845932,14.491546,large_airport,yes,5851079,2022,medium_airport,medium,45,medium,https://www.maltairport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.viennaairport.com/unternehmen/presse__news/presseaussendungen__news_2?news_beitrag_id=1674051696325
Tianjin Binhai International Airport,Tianjin Binhai International Airport,TSN,ZBTJ,ZBTJ,CN,China,CN-12,Tianjin,Tianjin,39.124401092499994,117.346000671,large_airport,yes,5841680,2022,medium_airport,medium,45,medium,http://www.tbia.cn/cn/index.do,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202303/P020230317397015127619.xlsx
Nantes Atlantique Airport,Nantes Atlantique Airport,NTE,LFRS,LFRS,FR,France,FR-PDL,Nantes,Nantes,47.153198,-1.61073,medium_airport,yes,5800372,2022,medium_airport,medium,40,medium,https://www.nantes.aeroport.fr/en,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.aeroport.fr/uploads/documents/CONGRES%202022/DOSSIER%20DE%20PRESSE_STATS_2022_v2.pdf
Pinto Martins International Airport,Pinto Martins International Airport,FOR,SBFZ,SBFZ,BR,Brazil,BR-CE,Fortaleza,Fortaleza,-3.775833,-38.532222,large_airport,yes,5778038,2022,medium_airport,medium,45,medium,https://fortaleza-airport.com.br/en,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.fraport.com/content/dam/fraport-company/documents/investoren/finanz--und-verkehrszahlen/verkehrszahlen/konzern/2022/Monatliche%20Konzernverkehrszahlen.xlsx/_jcr_content/renditions/original.media_file.download_attachment.file/Monatliche%20Konzernverkehrszahlen.xlsx
José Martí International Airport,José Martí International Airport,HAV,MUHA,MUHA,CU,Cuba,CU-03,Havana,Havana,22.989200592041016,-82.40910339355469,large_airport,yes,5713859,2017,medium_airport,medium,45,medium,http://havana.airportcuba.net/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.routesonline.com/news/29/breaking-news/277469/top-20-fastest-growing-major-airports-in-the-world/?highlight=havana
Gold Coast Airport,Gold Coast Airport,OOL,YBCG,YBCG,AU,Australia,AU-QLD,Gold Coast,Gold Coast,-28.165962,153.506641,large_airport,yes,5708687,2022,medium_airport,medium,45,medium,http://www.goldcoastairport.com.au,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.bitre.gov.au/sites/default/files/documents/webairport_cy_1985-2022.xlsx
Bordeaux–Mérignac Airport,Bordeaux–Mérignac Airport,BOD,LFBD,LFBD,FR,France,FR-NAQ,Bordeaux,Bordeaux,44.82865,-0.715356,large_airport,yes,5704455,2022,medium_airport,medium,45,medium,https://www.bordeaux.aeroport.fr/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.aeroport.fr/uploads/documents/CONGRES%202022/DOSSIER%20DE%20PRESSE_STATS_2022_v2.pdf
Murtala Muhammed International Airport,Murtala Muhammed International Airport,LOS,DNMM,DNMM,NG,Nigeria,NG-LA,Lagos,Lagos,6.57737,3.32116,large_airport,yes,5689234,2021,medium_airport,medium,45,medium,http://www.faannigeria.org/nigeria-airport.php?airport=1,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://nigerianstat.gov.ng/elibrary/read/1241160
